Id,City,Address,Status,Start,End,ProductsSelected,TotalPrice,TotalPriceCurrencyCode
33478,Борисполь,"ул. Киевский шлях 2/6, Аэромолл",NewUser,2019-03-30 11:20,2019-03-30 11:23,N,0.00,UAH
33479,Мукачево,ул. Матросова 19,NewUser,2019-03-30 11:21,2019-03-30 11:23,N,0.00,UAH
33480,Киев,ул. Бережанская 22,Timeout,2019-03-30 11:21,2019-03-30 11:24,N,0.00,UAH
33481,Борисполь,"ул. Киевский шлях 2/6, Аэромолл",NewUser,2019-03-30 11:23,2019-03-30 11:25,N,0.00,UAH
33482,Борисполь,"ул. Киевский шлях 2/6, Аэромолл",NewUser,2019-03-30 11:25,2019-03-30 11:26,N,0.00,UAH
33483,Южный,ул. Химиков 29,Timeout,2019-03-30 11:24,2019-03-30 11:26,N,0.00,UAH
33484,Киев,ул. Чернобыльская 16/80,Timeout,2019-03-30 11:25,2019-03-30 11:26,N,0.00,UAH
33485,Виноградов,ул. Ивана Франко 135е,NewUser,2019-03-30 11:22,2019-03-30 11:26,N,0.00,UAH
33486,Киев,ул. Бандеры 15а,Timeout,2019-03-30 11:25,2019-03-30 11:27,N,0.00,UAH
33487,Киев,ул. Леся Курбаса 6,Timeout,2019-03-30 11:26,2019-03-30 11:27,N,0.00,UAH
33488,Киев,ул. Семьи Cосниных 17,Timeout,2019-03-30 11:25,2019-03-30 11:27,N,0.00,UAH
33489,Киев,Харьковское шоссе 19,Timeout,2019-03-30 11:27,2019-03-30 11:28,N,0.00,UAH
